mod_variants,Ford Figo Ambiente petrol,Ford Figo Titanium petrol,Ford Figo Titanium AT petrol,Ford Figo Titanium Diesel,Ford Ecosport ambiente petrol,Ford Ecosport ambiente diesel,Ford Ecosport trend petrol,Ford Ecosport trend diesel,Ford Ecosport titanium petrol,Ford Ecosport titanium diesel,Honda City V MT Petrol,Honda City V CVT Petrol,Honda City VX MT Petrol,Honda City V MT Diesel,Honda City VX MT Diesel,Honda City ZX CVT Petrol,Honda City VX CVT Petrol,Honda Jazz VX MT Petrol,Honda Jazz ZX MT Petrol,Honda Jazz VX CVT Petrol,Honda Jazz ZX CVT Petrol,Hyundai grand i10 NIOS Magna MT Petrol,Hyundai grand i10 NIOS Magna AMT Petrol,Hyundai grand i10 NIOS Sportz MT Petrol,Hyundai grand i10 NIOS Sportz MT Diesel,Hyundai grand i10 NIOS Asta CRDi,Hyundai verna SX MT Petrol,Hyundai verna SX MT Diesel,Hyundai verna SX AT Diesel,Hyundai verna Splus MT Petrol,Hyundai verna SPlus MT Diesel,Mahindra Bolero Neo N8 MT Diesel,Mahindra Bolero Neo N10 MT Diesel,Mahindra Bolero Neo N4 MT Diesel,Mahindra XUV700 MX MT Petrol,Mahindra XUV700 MX MT Diesel,Mahindra XUV700 AX5 Automatic Petrol,Mahindra XUV700 AX5 Automatic Diesel,Mahindra XUV700 AX7 Automatic Petrol,Mahindra XUV700 AX7 Automatic Diesel,Maruti Suzuki Baleno Sigma MT Petrol,Maruti Suzuki Baleno Delta MT Petrol,Maruti Suzuki Baleno Zeta MT Petrol,Maruti Suzuki Baleno Zeta Automatic Petrol,Maruti Suzuki Baleno Delta Automatic Petrol,Maruti Suzuki Baleno Alpha MT Petrol,Maruti Suzuki Dzire LXI MT Petrol,Maruti Suzuki Dzire VXI MT Petrol,Tata Nexon XZ Petrol,Tata Nexon XM Petrol,Tata Nexon XMA AMT Petrol,Tata Nexon XM MT Diesel,Tata Nexon XMA AMT Diesel,Tata Tiago XT MT Petrol,Tata Tiago XZ MT Petrol,Tata Tiago XTA Automatic Petrol,Tata Tiago XZPlus MT Petrol,Toyota Innova 2.5 VX MT Diesel,Toyota Innova 2.5 ZX MT Diesel,Toyota Innova 2.5 GX MT Diesel,Toyota Urban Cruiser Mid MT Petrol,Toyota Urban Cruiser High MT Petrol,Toyota Urban Cruiser Premium MT Petrol,Toyota Urban Cruiser Premium Automatic Petrol,Toyota Urban Cruiser High Automatic Petrol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen_info,"Experience the smoothest drive of the new, fully automatic Ford Figo","Experience the smoothest drive of the new, fully automatic Ford Figo","Experience the smoothest drive of the new, fully automatic Ford Figo","Experience the smoothest drive of the new, fully automatic Ford Figo","Experience a whole new perspective, the ease of technology, superior comfort","Experience a whole new perspective, the ease of technology, superior comfort","Experience a whole new perspective, the ease of technology, superior comfort","Experience a whole new perspective, the ease of technology, superior comfort","Experience a whole new perspective, the ease of technology, superior comfort","Experience a whole new perspective, the ease of technology, superior comfort","Enjoy absolute exhilaration, luxury, control and connectivity","Enjoy absolute exhilaration, luxury, control and connectivity","Enjoy absolute exhilaration, luxury, control and connectivity","Enjoy absolute exhilaration, luxury, control and connectivity","Enjoy absolute exhilaration, luxury, control and connectivity","Enjoy absolute exhilaration, luxury, control and connectivity","Enjoy absolute exhilaration, luxury, control and connectivity","For the very, very demanding","For the very, very demanding","For the very, very demanding","For the very, very demanding","a perfect sync between exuberant design and advanced technology, experience its breathtaking good looks, indulgent comfort and riveting performance","a perfect sync between exuberant design and advanced technology, experience its breathtaking good looks, indulgent comfort and riveting performance","a perfect sync between exuberant design and advanced technology, experience its breathtaking good looks, indulgent comfort and riveting performance","a perfect sync between exuberant design and advanced technology, experience its breathtaking good looks, indulgent comfort and riveting performance","a perfect sync between exuberant design and advanced technology, experience its breathtaking good looks, indulgent comfort and riveting performance","The spirited new VERNA is not just all looks, Experience the power of the spirited new VERNA as you charge ahead and take control of the city roads","The spirited new VERNA is not just all looks, Experience the power of the spirited new VERNA as you charge ahead and take control of the city roads","The spirited new VERNA is not just all looks, Experience the power of the spirited new VERNA as you charge ahead and take control of the city roads","The spirited new VERNA is not just all looks, Experience the power of the spirited new VERNA as you charge ahead and take control of the city roads","The spirited new VERNA is not just all looks, Experience the power of the spirited new VERNA as you charge ahead and take control of the city roads","A stunning combination of classic and modern, the Neo delivers an authoritative SUV expeience","A stunning combination of classic and modern, the Neo delivers an authoritative SUV expeience","A stunning combination of classic and modern, the Neo delivers an authoritative SUV expeience","The super advanced intelligence will give you a rush like never before. Its cutting edge technology is engineered to deliver power, safety and entertainment that is far beyond the ordinary.","The super advanced intelligence will give you a rush like never before. Its cutting edge technology is engineered to deliver power, safety and entertainment that is far beyond the ordinary.","The super advanced intelligence will give you a rush like never before. Its cutting edge technology is engineered to deliver power, safety and entertainment that is far beyond the ordinary.","The super advanced intelligence will give you a rush like never before. Its cutting edge technology is engineered to deliver power, safety and entertainment that is far beyond the ordinary.","The super advanced intelligence will give you a rush like never before. Its cutting edge technology is engineered to deliver power, safety and entertainment that is far beyond the ordinary.","The super advanced intelligence will give you a rush like never before. Its cutting edge technology is engineered to deliver power, safety and entertainment that is far beyond the ordinary.","It comes with a host of innovative features and advanced technology, making it an exceptional drive. The new Baleno is created to inspire you to take bolder paths.","It comes with a host of innovative features and advanced technology, making it an exceptional drive. The new Baleno is created to inspire you to take bolder paths.","It comes with a host of innovative features and advanced technology, making it an exceptional drive. The new Baleno is created to inspire you to take bolder paths.","It comes with a host of innovative features and advanced technology, making it an exceptional drive. The new Baleno is created to inspire you to take bolder paths.","It comes with a host of innovative features and advanced technology, making it an exceptional drive. The new Baleno is created to inspire you to take bolder paths.","It comes with a host of innovative features and advanced technology, making it an exceptional drive. The new Baleno is created to inspire you to take bolder paths.","Welcoming you to a new world of comfort, convenience and style. Move up to a new world. The new Dzire is the perfect blend of style that is bold and premium.","Welcoming you to a new world of comfort, convenience and style. Move up to a new world. The new Dzire is the perfect blend of style that is bold and premium.",You are coming closer to experience the adventures of the NexLevel,You are coming closer to experience the adventures of the NexLevel,You are coming closer to experience the adventures of the NexLevel,You are coming closer to experience the adventures of the NexLevel,You are coming closer to experience the adventures of the NexLevel,Younger than ever. Bolder than ever. Inspired by the spirited youth. The new Tiago is full of surprises and space. Get used to luxury because every drive will be a long one.,Younger than ever. Bolder than ever. Inspired by the spirited youth. The new Tiago is full of surprises and space. Get used to luxury because every drive will be a long one.,Younger than ever. Bolder than ever. Inspired by the spirited youth. The new Tiago is full of surprises and space. Get used to luxury because every drive will be a long one.,Younger than ever. Bolder than ever. Inspired by the spirited youth. The new Tiago is full of surprises and space. Get used to luxury because every drive will be a long one.,"when you choose the Innova, you choose an innovative blend of elegant design, versatile features, superior performance, excellent drivability and world class safety.","when you choose the Innova, you choose an innovative blend of elegant design, versatile features, superior performance, excellent drivability and world class safety.","when you choose the Innova, you choose an innovative blend of elegant design, versatile features, superior performance, excellent drivability and world class safety.","For those who cruise their way to respect, here is a young urban SUV that is built to take you there. Wherever you go, respect follows.","For those who cruise their way to respect, here is a young urban SUV that is built to take you there. Wherever you go, respect follows.","For those who cruise their way to respect, here is a young urban SUV that is built to take you there. Wherever you go, respect follows.","For those who cruise their way to respect, here is a young urban SUV that is built to take you there. Wherever you go, respect follows.","For those who cruise their way to respect, here is a young urban SUV that is built to take you there. Wherever you go, respect follows."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bod_type,hatchback,hatchback,hatchback,hatchback,SUV,SUV,SUV,SUV,SUV,SUV,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,Sedan,Sedan,Sedan,Sedan,Sedan,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,hatchback,hatchback,hatchback,hatchback,hatchback,hatchback,Sedan,Sedan,SUV,SUV,SUV,SUV,SUV,hatchback,hatchback,hatchback,hatchback,MUV,MUV,MUV,SUV,SUV,SUV,SUV,SUV
bod_colors,"Diamond White, Rube Red, Moondust Silver, White Gold, Smoke Grey","Ruby red, moondust silver, smoke grey, white gold, diamond white","Ruby red, moondust silver, smoke grey, white gold, diamond white","Ruby red, moondust silver, smoke grey, white gold, diamond white","Diamond White, Lightning Blue, Moondust silver, Absolute black, Race red, Canyon ridge","Diamond White, Lightning Blue, Moondust silver, Absolute black, Race red, Canyon ridge","Diamond White, Lightning Blue, Moondust silver, Absolute black, Race red, Canyon ridge","Diamond White, Lightning Blue, Moondust silver, Absolute black, Race red, Canyon ridge","Diamond White, Lightning Blue, Moondust silver, Absolute black, Race red, Canyon ridge","Diamond White, Lightning Blue, Moondust silver, Absolute black, Race red, Canyon ridge","Radiant metallic red, platinum pearl white, modern metallic steel, lunar metallic silver, golden metallic brown","Radiant metallic red, platinum pearl white, modern metallic steel, lunar metallic silver, golden metallic brown","Radiant metallic red, platinum pearl white, modern metallic steel, lunar metallic silver, golden metallic brown","Radiant metallic red, platinum pearl white, modern metallic steel, lunar metallic silver, golden metallic brown","Radiant metallic red, platinum pearl white, modern metallic steel, lunar metallic silver, golden metallic brown","Radiant metallic red, platinum pearl white, modern metallic steel, lunar metallic silver, golden metallic brown","Radiant metallic red, platinum pearl white, modern metallic steel, lunar metallic silver, golden metallic brown","PLATINUM WHITE PEARL, Rediant Red Metallic, Lunar Silver Metallic, Modern Steel Metallic, Golden Brown Metallic","PLATINUM WHITE PEARL, Rediant Red Metallic, Lunar Silver Metallic, Modern Steel Metallic, Golden Brown Metallic","PLATINUM WHITE PEARL, Rediant Red Metallic, Lunar Silver Metallic, Modern Steel Metallic, Golden Brown Metallic","PLATINUM WHITE PEARL, Rediant Red Metallic, Lunar Silver Metallic, Modern Steel Metallic, Golden Brown Metallic","Aqua Teal Dual Tone, Fiery Red, Typhoon Silver, Polar White Dual Tone, Polar White, Titan Grey, Aqua Teal","Aqua Teal Dual Tone, Fiery Red, Typhoon Silver, Polar White Dual Tone, Polar White, Titan Grey, Aqua Teal","Aqua Teal Dual Tone, Fiery Red, Typhoon Silver, Polar White Dual Tone, Polar White, Titan Grey, Aqua Teal","Aqua Teal Dual Tone, Fiery Red, Typhoon Silver, Polar White Dual Tone, Polar White, Titan Grey, Aqua Teal","Aqua Teal Dual Tone, Fiery Red, Typhoon Silver, Polar White Dual Tone, Polar White, Titan Grey, Aqua Teal","Typhoon Silver, Fiery Red, Phantom Black, Polar White, Titan Grey, Starry Night","Typhoon Silver, Fiery Red, Phantom Black, Polar White, Titan Grey, Starry Night","Typhoon Silver, Fiery Red, Phantom Black, Polar White, Titan Grey, Starry Night","Typhoon Silver, Fiery Red, Phantom Black, Polar White, Titan Grey, Starry Night","Typhoon Silver, Fiery Red, Phantom Black, Polar White, Titan Grey, Starry Night","Diamond White, Majestic Silver, Napoli Black, Highway Red, Rocky Beige","Diamond White, Majestic Silver, Napoli Black, Highway Red, Rocky Beige","Diamond White, Majestic Silver, Napoli Black, Highway Red, Rocky Beige","Midnight Black, Everest White, Dazzling Silver, Red Rage, Electric Blue","Midnight Black, Everest White, Dazzling Silver, Red Rage, Electric Blue","Midnight Black, Everest White, Dazzling Silver, Red Rage, Electric Blue","Midnight Black, Everest White, Dazzling Silver, Red Rage, Electric Blue","Midnight Black, Everest White, Dazzling Silver, Red Rage, Electric Blue","Midnight Black, Everest White, Dazzling Silver, Red Rage, Electric Blue","Pearl Arctic White, Metallic Premium silver, Pearl Phoenix Red, Metallic Magma Grey, Nexa Blue","Pearl Arctic White, Metallic Premium silver, Pearl Phoenix Red, Metallic Magma Grey, Nexa Blue","Pearl Arctic White, Metallic Premium silver, Pearl Phoenix Red, Metallic Magma Grey, Nexa Blue","Pearl Arctic White, Metallic Premium silver, Pearl Phoenix Red, Metallic Magma Grey, Nexa Blue","Pearl Arctic White, Metallic Premium silver, Pearl Phoenix Red, Metallic Magma Grey, Nexa Blue","Pearl Arctic White, Metallic Premium silver, Pearl Phoenix Red, Metallic Magma Grey, Nexa Blue","Arctic White, Sherwood Brown, Oxford Blue, Phoenix Red, Magma Grey, PREMIUM SILVER","Arctic White, Sherwood Brown, Oxford Blue, Phoenix Red, Magma Grey, PREMIUM SILVER","Flame Red, Calgary White, Foliage Green, Daytona Grey, Atlas Black","Flame Red, Calgary White, Foliage Green, Daytona Grey, Atlas Black","Flame Red, Calgary White, Foliage Green, Daytona Grey, Atlas Black","Flame Red, Calgary White, Foliage Green, Daytona Grey, Atlas Black","Flame Red, Calgary White, Foliage Green, Daytona Grey, Atlas Black","Berry Red, Ocean Blue, Pearlescent White, Espresso Brown, Titanium Grey, Canyon Orange, Platinum Silver","Berry Red, Ocean Blue, Pearlescent White, Espresso Brown, Titanium Grey, Canyon Orange, Platinum Silver","Berry Red, Ocean Blue, Pearlescent White, Espresso Brown, Titanium Grey, Canyon Orange, Platinum Silver","Berry Red, Ocean Blue, Pearlescent White, Espresso Brown, Titanium Grey, Canyon Orange, Platinum Silver","Silver Mica Metallic, Bronze Mica Metallic, Silky Gold Mica Metallic, Dark red mica Metallic, Super white, Grey Metallic, Grey Mica Metallic, Silver Metallic","Silver Mica Metallic, Bronze Mica Metallic, Silky Gold Mica Metallic, Dark red mica Metallic, Super white, Grey Metallic, Grey Mica Metallic, Silver Metallic","Silver Mica Metallic, Bronze Mica Metallic, Silky Gold Mica Metallic, Dark red mica Metallic, Super white, Grey Metallic, Grey Mica Metallic, Silver Metallic","Rustic Brown With Sizzling Black Roof, Spunky Blue, Iconic Grey, Groovy Orange With Sunny White Roof, Spunky Blue With Sizzling Black Roof, Sunny White, Suave Silver, Rustic Brown, Groovy Orange","Rustic Brown With Sizzling Black Roof, Spunky Blue, Iconic Grey, Groovy Orange With Sunny White Roof, Spunky Blue With Sizzling Black Roof, Sunny White, Suave Silver, Rustic Brown, Groovy Orange","Rustic Brown With Sizzling Black Roof, Spunky Blue, Iconic Grey, Groovy Orange With Sunny White Roof, Spunky Blue With Sizzling Black Roof, Sunny White, Suave Silver, Rustic Brown, Groovy Orange","Rustic Brown With Sizzling Black Roof, Spunky Blue, Iconic Grey, Groovy Orange With Sunny White Roof, Spunky Blue With Sizzling Black Roof, Sunny White, Suave Silver, Rustic Brown, Groovy Orange","Rustic Brown With Sizzling Black Roof, Spunky Blue, Iconic Grey, Groovy Orange With Sunny White Roof, Spunky Blue With Sizzling Black Roof, Sunny White, Suave Silver, Rustic Brown, Groovy Orange"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eng_cylinders,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,3 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder,4 cylinders and 4 valves per cylinder
eng_compression_ratio,,,,,11 to 1,16 to 1,11 to 1,16 to 1,11 to 1,16 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eng_displacement,1194 cc,1194 cc,1194 cc,1499 cc,1496 cc,1498 cc,1496 cc,1498 cc,1496 cc,1498 cc,1498 cc,1498 cc,1498 cc,1498 cc,1498 cc,1498 cc,1498 cc,1199 cc,1199 cc,1199 cc,1199 cc,1197 cc,1197 cc,1197 cc,1186 cc,1186 cc,1497 cc,1493 cc,1493 cc,1497 cc,1493 cc,1493 cc,1493 cc,1493 cc,1999 cc,2198 cc,1999 cc,2198 cc,1999 cc,2198 cc,1197 cc,1197 cc,1197 cc,1197 cc,1197 cc,1197 cc,1197 cc,1197 cc,1199 cc,1199 cc,1199 cc,1497 cc,1497 cc,1199 cc,1199 cc,1199 cc,1199 cc,2494 cc,2494 cc,2494 cc,1462 cc,1462 cc,1462 cc,1462 cc,1462 cc
eng_max_out,96 bhp @ 6500 rpm,96 bhp @ 6500 rpm,96 bhp @ 6500 rpm,99 bhp @ 6500 rpm,120 bhp @ 6500 rpm,100 bhp @ 6500 rpm,120 bhp @ 6500 rpm,100 bhp @ 6500 rpm,120 bhp @ 6500 rpm,100 bhp @ 6500 rpm,119 bhp @ 6600 rpm,119 bhp @ 6600 rpm,119 bhp @ 6600 rpm,98 bhp @ 3600 rpm,98 bhp @ 3600 rpm,119 bhp @ 6600 rpm,119 bhp @ 6600 rpm,88.5 bhp @ 6000 rpm,88.5 bhp @ 6000 rpm,88.5 bhp @ 6000 rpm,88.5 bhp @ 6000 rpm,81.86 bhp @ 6000 rpm,81.86 bhp @ 6000 rpm,81.86 bhp @ 6000 rpm,73.97 bhp @ 4000 rpm,73.97 bhp @ 4000 rpm,113.42 bhp @ 6300 rpm,113.42 bhp @ 4000 rpm,113.42 bhp @ 4000 rpm,113.42 bhp @ 6300 rpm,113.42 bhp @ 4000 rpm,100 bhp @ 3750 rpm,100 bhp @ 3750 rpm,100 bhp @ 3750 rpm,197.13 bhp @ 5000 rpm,152.87 bhp @ 3750 rpm,197.13 bhp @ 5000 rpm,182.38 bhp @ 3500 rpm,197.13 bhp @ 5000 rpm,182.38 bhp @ 3500 rpm,81.8 bhp @ 6000 rpm,81.8 bhp @ 6000 rpm,81.8 bhp @ 6000 rpm,83.1 bhp @ 6000 rpm,83.1 bhp @ 6000 rpm,81.8 bhp @ 6000 rpm,88.5 bhp @ 6000 rpm,88.5 bhp @ 6000 rpm,118.36 bhp @ 5500 rpm,118.36 bhp @ 5500 rpm,118.36 bhp @ 5500 rpm,108.5 bhp @ 4000 rpm,108.5 bhp @ 4000 rpm,84.48 bhp @ 6000 rpm,84.48 bhp @ 6000 rpm,84.48 bhp @ 6000 rpm,84.48 bhp @ 6000 rpm,100.6 bhp @ 3600 rpm,100.6 bhp @ 3600 rpm,100.6 bhp @ 3600 rpm,103.26 bhp @ 6000 rpm,103.26 bhp @ 6000 rpm,103.26 bhp @ 6000 rpm,103.26 bhp @ 6000 rpm,103.26 bhp @ 6000 rpm
